n-component,n-rows,n-features,scaler-average-time,scaler-std-time,RFF-fit-average-time,RFF-fit-std-time,Nystroem-fit-average-time,Nystroem-fit-std-time,RFF-transform-average-time,RFF-transform-std-time,Nystroem-transform-average-time,Nystroem-transform-std-time,RFF-ridge-training-average-time,RFF-ridge-training-std-time,Nystroem-ridge-training-average-time,Nystroem-ridge-training-std-time,RFF-ridge-n_iterations_in_training_mean,RFF-ridge-n_iterations_in_training_std,Nystroem-ridge-n_iterations_in_training_mean,Nystroem-ridge-n_iterations_in_training_std,RFF-ridge-predict-average-time,RFF-ridge-predict-std-time,Nystroem-ridge-predict-average-time,Nystroem-ridge-predict-std-time,RFF-svc-training-average-time,RFF-svc-training-std-time,Nystroem-svc-training-average-time,Nystroem-svc-training-std-time,RFF-svc-n_iterations_in_training_mean,RFF-svc-n_iterations_in_training_std,Nystroem-svc-n_iterations_in_training_mean,Nystroem-svc-n_iterations_in_training_std,RFF-svc-predict-average-time,RFF-svc-predict-std-time,Nystroem-svc-predict-average-time,Nystroem-svc-predict-std-time,random-state
7,768,8,4.096031188964844e-05,1.0940529561918082e-05,0.00015382766723632814,3.423420156870146e-05,0.000551605224609375,0.0006673766940324906,6.818771362304688e-05,5.434165630360356e-06,0.00016231536865234374,2.6783650722472417e-06,0.0007556438446044922,0.00014031967434500737,0.0006671905517578125,1.8026715090206182e-05,0.0008028030395507812,0.00021553483943662029,0.0006566047668457031,7.3852055081050585e-06,5.30242919921875e-05,1.8457509644003458e-05,4.444122314453125e-05,8.204855937605178e-06,0.0047912120819091795,0.00011475879014473821,0.0040302276611328125,5.7618179539423154e-05,0.004577112197875976,2.6222467178614913e-05,0.003994989395141602,9.700829805406917e-05,0.003254985809326172,8.251377346968946e-05,0.0029352188110351564,0.00016158997505875863,123
15,768,8,3.881454467773438e-05,6.044275415783212e-06,0.0001492023468017578,3.2449635740041516e-05,0.00027985572814941405,4.1814228053545784e-05,9.360313415527344e-05,1.1010705869576726e-05,0.00020236968994140624,1.2181999573957941e-05,0.0007748126983642579,7.688590711641179e-05,0.0007661819458007812,0.00012920159960164024,0.0006724357604980469,7.87792134463338e-06,0.000732421875,0.00014401794604311917,7.004737854003907e-05,3.739730504495828e-05,4.53948974609375e-05,5.60816045202748e-06,0.004918622970581055,2.11356423087029e-05,0.0053539276123046875,0.0005397628924372821,0.005948448181152343,0.0021937106629194058,0.006727266311645508,0.003352250979691285,0.003270673751831055,6.087741921157058e-05,0.0033324241638183595,7.580931041612266e-05,123
30,768,8,3.96728515625e-05,9.008941860699383e-06,0.0001492023468017578,3.108524804306132e-05,0.0003452777862548828,5.7143765949159484e-05,0.00015659332275390624,9.714496589773114e-06,0.0018291950225830078,0.0020453577328168973,0.0014643669128417969,0.0012930748956038538,0.00233917236328125,0.00273998965564978,0.0015232086181640625,0.0010355115111803394,0.0017242431640625,0.0018316279509828417,7.066726684570312e-05,4.9047227640459495e-05,0.0004769802093505859,0.0009257166443626257,0.012459707260131837,0.002190802360260021,0.00947256088256836,0.001472446675430205,0.00782012939453125,3.335858494193973e-05,0.007922983169555664,3.998209196914665e-05,0.00533761978149414,4.668793435537316e-05,0.005312204360961914,1.1654499104118578e-05,123
38,768,8,3.681182861328125e-05,5.401641130365174e-06,0.00014104843139648438,1.479309953763371e-05,0.0005030155181884766,0.00026710263364231604,0.00017199516296386718,1.6804366581835868e-05,0.00039615631103515623,4.020256187726116e-05,0.00086517333984375,6.10827282942526e-05,0.0009185791015625,0.00026644582417704435,0.002206230163574219,0.0006316810063929319,0.0008903980255126953,0.00013537616029409594,4.858970642089844e-05,8.024122415793346e-06,8.721351623535157e-05,9.373268081591687e-05,0.009446048736572265,0.0015370901137125588,0.00926203727722168,0.0012161112217847097,0.009908580780029297,0.002617693234461073,0.009395360946655273,0.0016028928150225322,0.005852413177490234,0.00010942755681507612,0.005768823623657227,8.562155251887997e-05,123
53,768,8,3.6382675170898436e-05,5.385832957367906e-06,0.00014581680297851563,1.6086276625747063e-05,0.0007622241973876953,0.00016591877645587278,0.002307271957397461,0.0032125657788189084,0.0006646156311035156,0.0002790878434934986,0.0009295463562011719,6.641175091656066e-05,0.0008860111236572265,9.041692596279421e-06,0.0008772373199462891,7.798146542435093e-06,0.001007223129272461,0.0003018878512042098,5.240440368652344e-05,7.687659109870968e-06,5.078315734863281e-05,5.537781548183887e-06,0.010411977767944336,0.0005183920093574645,0.012172985076904296,0.003116116278358292,0.010789632797241211,0.0012461098998294646,0.011605167388916015,0.003229463264809423,0.0072348594665527345,4.5660861639488234e-05,0.006981611251831055,3.134410997110582e-05,123
69,768,8,3.6144256591796874e-05,5.758191228285955e-06,0.00014481544494628906,1.526121030909373e-05,0.008501911163330078,0.005133409560103537,0.005114984512329101,0.005098903894755489,0.0011832714080810547,0.0009261156341283936,0.01634359359741211,0.0023320485752764586,0.029786205291748045,0.009074762341274302,0.024128055572509764,0.007230105927756059,0.017801237106323243,0.0044486403439555865,0.0001609325408935547,3.35455025521751e-05,0.0004752159118652344,0.00045108500292179166,0.015128421783447265,0.0024884686148950205,0.014885330200195312,0.002370244468143174,0.013732385635375977,0.0026631209043085904,0.012354898452758788,0.00018725600713831426,0.009073591232299805,1.9850834555977223e-05,0.009128046035766602,1.0817742204764609e-05,123
76,768,8,3.5810470581054685e-05,4.483917623135799e-06,0.0001445293426513672,1.6197906297908737e-05,0.009331560134887696,0.005774594835438618,0.0029823780059814453,0.0022168414107674,0.0014438629150390625,0.00038222945080145356,0.029865837097167967,0.006285274613364739,0.023943090438842775,0.013358333741679568,0.02610163688659668,0.011468454730543849,0.033446455001831056,0.004797585772963858,0.00018291473388671876,5.82801525038639e-05,0.00016398429870605468,3.003194089696473e-05,0.013527011871337891,0.0002874460354318773,0.014156961441040039,0.0025267460667982946,0.01784038543701172,0.006835012933512881,0.012920570373535157,0.00023014756738879677,0.010140657424926758,0.00010409872288599965,0.00965423583984375,1.2568978864568023e-05,123
92,768,8,3.5381317138671876e-05,4.98003851882398e-06,0.00014781951904296875,1.3872396856825628e-05,0.023624181747436523,0.015303059371697523,0.002121591567993164,0.002465282409741071,0.0008274078369140625,5.1020628929262534e-05,0.041777181625366214,0.009722923027817408,0.05506696701049805,0.00856623176282136,0.03792176246643066,0.008338086490537949,0.04511761665344238,0.013475960654061021,0.0006843090057373046,0.0013736122988181748,0.00019683837890625,7.475945212652393e-05,0.015772294998168946,0.0011921248836993907,0.015058612823486328,5.510244867305162e-05,0.017504358291625978,0.003128826979163004,0.015501022338867188,0.0024812986518900773,0.011583948135375976,0.0001813913087197534,0.011310815811157227,0.00016083873558020954,123
99,768,8,3.6382675170898436e-05,6.291269550160812e-06,0.00015106201171875,1.8686298546747332e-05,0.020369482040405274,0.007649979450577392,0.00048422813415527344,2.8915564113875163e-05,0.0010839939117431641,8.579087658611288e-05,0.04503202438354492,0.009985493558125658,0.04021759033203125,0.007774850353046105,0.05023250579833984,0.006174427936821609,0.04315261840820313,0.009817464038399207,0.0004052639007568359,0.0006013734572414133,0.00013895034790039061,0.0001289077908216581,0.016998815536499023,5.5488409357169975e-05,0.018943643569946288,0.003173528487368969,0.019388914108276367,0.002770085378728548,0.015743780136108398,0.00010651914032474937,0.013007593154907227,0.00012041547428417808,0.012485742568969727,9.319696562620194e-06,123
115,768,8,4.0197372436523436e-05,5.2630597574862995e-06,0.00015163421630859375,1.641369500419694e-05,0.14439759254455567,0.030494016285349552,0.0006984233856201172,0.0002780345326595997,0.0010155677795410157,0.00011695113001795049,0.05484261512756348,0.017905450691846275,0.05192856788635254,0.007212470119768056,0.04936318397521973,0.017449433174297722,0.06300916671752929,0.008066462808263425,0.0002048015594482422,8.180571925289165e-05,0.00021233558654785157,8.276380838095258e-05,0.02136540412902832,0.0030783783342598968,0.018728351593017577,5.590714876029762e-05,0.0186521053314209,0.00036932864091664656,0.01760401725769043,4.7615897111236356e-05,0.014634227752685547,2.0083563716445384e-05,0.01429157257080078,3.314421306771844e-05,123
130,768,8,3.643035888671875e-05,7.273525275528643e-06,0.00015435218811035156,2.1716124329514268e-05,0.2730586051940918,0.00394697673345763,0.002849912643432617,0.004427686827419574,0.0011725902557373046,3.5641145463722807e-05,0.04861903190612793,0.015065170012808394,0.04662680625915527,0.009419567007898946,0.04699521064758301,0.008579030705264426,0.041605806350708006,0.00592094528873913,0.0010297775268554687,0.0021629778647278167,0.001472806930541992,0.0031001516482351667,0.021628952026367186,0.0025359394693443994,0.02386479377746582,0.0033225071856550267,0.01983194351196289,0.0004822659331662647,0.01936502456665039,1.761750367287556e-05,0.015923547744750976,0.00016507748435295032,0.015511417388916015,3.0935947584747133e-05,123
138,768,8,3.9005279541015624e-05,7.485735923273311e-06,0.0001609325408935547,1.7099782063523394e-05,0.2705517292022705,0.0011359097269230385,0.0011908054351806641,0.0006331908576259244,0.0014297962188720703,0.00020253633737128213,0.031892824172973636,0.013862362619689535,0.04422693252563477,0.004449195465511656,0.047403573989868164,0.009328856837260225,0.034061622619628903,0.018561891641877593,0.0003317356109619141,0.00036681783543560044,0.00022058486938476564,8.312168937393696e-05,0.02686595916748047,0.004839396941240073,0.025480175018310548,0.0038760135669632908,0.020682811737060547,0.000303199776414446,0.020310735702514647,0.00010565139424624445,0.016789817810058595,0.0003853214757755711,0.016496038436889647,0.00013329811970137426,123
153,768,8,3.685951232910156e-05,6.753182579497335e-06,0.00016317367553710937,2.6135722598898194e-05,0.27506470680236816,0.00884875864066012,0.0014507770538330078,0.0015750845950558174,0.0017968177795410155,0.00044817954685490396,0.05618596076965332,0.012776228873218446,0.06352014541625976,0.006255564246163086,0.06322598457336426,0.010021082454853687,0.057756233215332034,0.0184302283787283,0.0003943920135498047,0.0006293061082618633,0.0009798526763916016,0.0020244636330861913,0.028026437759399413,0.005051534939768745,0.027069807052612305,0.004446241978787523,0.02253856658935547,0.00013809300012018332,0.02290792465209961,7.887303169531777e-05,0.018370294570922853,0.00015072586111418182,0.01845264434814453,0.00013149611402995382,123
161,768,8,3.757476806640625e-05,6.807675036105703e-06,0.00016345977783203126,2.194202335855269e-05,0.27358155250549315,0.004660307745925746,0.0007598400115966797,6.8426547564266e-05,0.00215764045715332,0.0009698447772348764,0.05195150375366211,0.012983925480551902,0.05438761711120606,0.01521572501730187,0.07235078811645508,0.010031788031335965,0.06406540870666504,0.015677624557400845,0.0003588676452636719,0.000465042952848664,0.00011620521545410156,0.00010438767533480585,0.029118680953979494,0.004879354662008711,0.02687101364135742,0.0026298545540873798,0.024219989776611328,9.791328854194341e-05,0.023608922958374023,9.705759444134908e-05,0.01967339515686035,0.00013594599365531986,0.019650793075561522,0.00013456427822626223,123
176,768,8,3.819465637207031e-05,7.437742616905909e-06,0.00016956329345703126,3.1121342531189904e-05,0.3109231948852539,0.032633370360958494,0.011945199966430665,0.010437536985624905,0.014683246612548828,0.0038353910516890485,0.11202216148376465,0.03919772174578696,0.17640290260314942,0.02458062541170694,0.1187124252319336,0.05006932207062367,0.13960232734680175,0.05851586828639697,0.0025284290313720703,0.0017290034891631445,0.0031919956207275392,0.002241480446829797,0.03531494140625,0.0113850734090396,0.033218097686767575,0.012499260581129518,0.026604509353637694,0.0005520223375453716,0.02544264793395996,0.0002705961805717978,0.02223200798034668,0.000569204682114967,0.021030902862548828,0.00010025876873931125,123
192,768,8,3.9005279541015624e-05,9.847004818358033e-06,0.00017919540405273438,4.4217037946284346e-05,0.27183518409729,0.0010318532666309826,0.0009738445281982422,7.962994944528234e-05,0.0019114017486572266,6.341642896515648e-05,0.0871243953704834,0.024698109960946985,0.09063234329223632,0.022900760334812417,0.049357366561889646,0.023054954087766224,0.06530733108520508,0.062205997450123736,0.002684211730957031,0.0019108879703918086,0.0012547492980957032,0.0013099011110477296,0.030044937133789064,0.0024629036578437736,0.03076181411743164,0.00353558191170718,0.027269458770751952,0.0001234220470761739,0.02741398811340332,6.015773694878324e-05,0.023048591613769532,0.00023376624962598215,0.022989225387573243,2.8888717913551044e-05,123
