n-component,n-rows,n-features,scaler-average-time,scaler-std-time,RFF-fit-average-time,RFF-fit-std-time,Nystroem-fit-average-time,Nystroem-fit-std-time,RFF-transform-average-time,RFF-transform-std-time,Nystroem-transform-average-time,Nystroem-transform-std-time,RFF-ridge-training-average-time,RFF-ridge-training-std-time,RFF-ridge-n_iterations_in_training_mean,RFF-ridge-n_iterations_in_training_std,RFF-ridge-predict-average-time,RFF-ridge-predict-std-time,RFF-ridge-score-average-time,RFF-ridge-score-std-time,RFF-ridge-score-in-test,method,Nystroem-ridge-training-average-time,Nystroem-ridge-training-std-time,Nystroem-ridge-n_iterations_in_training_mean,Nystroem-ridge-n_iterations_in_training_std,Nystroem-ridge-predict-average-time,Nystroem-ridge-predict-std-time,Nystroem-ridge-score-average-time,Nystroem-ridge-score-std-time,Nystroem-ridge-score-in-test,RFF-svc-training-average-time,RFF-svc-training-std-time,RFF-svc-n_iterations_in_training_mean,RFF-svc-n_iterations_in_training_std,RFF-svc-predict-average-time,RFF-svc-predict-std-time,RFF-svc-score-average-time,RFF-svc-score-std-time,RFF-svc-score-in-test,Nystroem-svc-training-average-time,Nystroem-svc-training-std-time,Nystroem-svc-n_iterations_in_training_mean,Nystroem-svc-n_iterations_in_training_std,Nystroem-svc-predict-average-time,Nystroem-svc-predict-std-time,Nystroem-svc-score-average-time,Nystroem-svc-score-std-time,Nystroem-svc-score-in-test,RFF-linear-svc-training-average-time,RFF-linear-svc-training-std-time,RFF-linear-svc-n_iterations_in_training_mean,RFF-linear-svc-n_iterations_in_training_std,RFF-linear-svc-predict-average-time,RFF-linear-svc-predict-std-time,RFF-linear-svc-score-average-time,RFF-linear-svc-score-std-time,RFF-linear-svc-score-in-test,Nystroem-linear-svc-training-average-time,Nystroem-linear-svc-training-std-time,Nystroem-linear-svc-n_iterations_in_training_mean,Nystroem-linear-svc-n_iterations_in_training_std,Nystroem-linear-svc-predict-average-time,Nystroem-linear-svc-predict-std-time,Nystroem-linear-svc-score-average-time,Nystroem-linear-svc-score-std-time,Nystroem-linear-svc-score-in-test,random-state
5,537,8,3.5429000854492186e-05,1.0663202649639285e-05,0.00012021064758300781,2.3288504203463592e-05,0.0005846023559570312,0.0008662007509319735,4.8208236694335935e-05,8.50723462081426e-06,0.000127410888671875,1.8858140985231635e-05,0.0005893707275390625,0.0002201737166612516,,,2.574920654296875e-05,4.347463257029169e-06,9.202957153320312e-05,1.8899842436415115e-05,0.696969696969697,Nystroem-linear-svc,0.00045418739318847656,8.667097439429062e-06,,,2.5177001953125e-05,2.9997188544371802e-06,8.606910705566406e-05,7.633118912497578e-06,0.7748917748917749,0.0035185813903808594,9.690373493235166e-05,,,0.0017145633697509765,1.7891404210705995e-05,0.0008719921112060547,3.5389943497918176e-05,0.6190476190476191,0.0021863937377929687,1.7118553596993047e-05,,,0.001558065414428711,1.8194165266258177e-05,0.0007822513580322266,1.4320008154340029e-05,0.7748917748917749,0.05089716911315918,0.0030111106157786425,95886.0,0.0,4.138946533203125e-05,3.400562781233535e-05,0.00010333061218261718,3.477831680150624e-05,0.6190476190476191,0.0023235797882080076,5.316130214635449e-05,4505.0,0.0,5.340576171875e-05,5.716355792743292e-05,0.00010161399841308593,3.0946419307267765e-05,0.7705627705627706,123
10,537,8,3.466606140136719e-05,6.543710524453742e-06,0.00012454986572265624,3.395711714231862e-05,0.00025010108947753906,5.355217779564203e-05,6.704330444335937e-05,9.721808090055341e-06,0.00014462471008300782,1.9017225975891405e-05,0.0006283760070800781,0.00012092918435167278,,,2.86102294921875e-05,8.097461556311461e-06,9.1552734375e-05,1.4779067527170135e-05,0.8268398268398268,Nystroem-linear-svc,0.0006035804748535156,3.6124388158323566e-05,,,2.8085708618164062e-05,7.485356235417154e-06,0.00010442733764648438,2.7506623325060913e-05,0.8051948051948052,0.0027187824249267577,0.0001565809911490908,,,0.002256011962890625,0.0009568138093975702,0.0008448123931884766,1.7879485982248262e-05,0.8225108225108225,0.0026160240173339843,0.00010554858085341814,,,0.0016726016998291015,3.549899724993526e-05,0.000857400894165039,1.0749214739615377e-05,0.8051948051948052,0.0028501033782958986,6.881885277966869e-05,3465.0,0.0,2.7418136596679688e-05,6.169008747546964e-06,8.616447448730468e-05,1.0426009298265716e-05,0.8181818181818182,0.003885793685913086,0.00012429046600125903,5826.0,0.0,3.724098205566406e-05,2.5652664717840057e-05,0.000106048583984375,3.786631996561356e-05,0.8051948051948052,123
21,537,8,3.0422210693359374e-05,6.625720518268336e-06,0.000119781494140625,1.8298994831007737e-05,0.0002648353576660156,5.750224151012448e-05,9.775161743164062e-05,1.4859618452867783e-05,0.0002017974853515625,2.6102533813622447e-05,0.0024399757385253906,0.0011230710015632148,,,8.635520935058593e-05,8.202777267824506e-06,0.00010180473327636719,1.4452374981436064e-05,0.8051948051948052,Nystroem-linear-svc,0.0009918212890625,0.00033317121869277857,,,0.00018053054809570314,0.00019230061344231811,0.00010957717895507813,3.9295909791981e-05,0.7835497835497836,0.003461408615112305,8.087705029138162e-05,,,0.0022351741790771484,9.877840273793505e-06,0.0010961532592773438,1.806608818795556e-05,0.8008658008658008,0.003563594818115234,0.0006389149383546932,,,0.002326822280883789,1.9163871231458128e-05,0.0011545658111572266,4.491568111589943e-05,0.8095238095238095,0.021817588806152345,0.0039004876610078446,39010.0,0.0,0.0006966114044189454,0.00027716743811740936,0.0003014087677001953,0.000161052182547824,0.7965367965367965,0.005488538742065429,8.28984862323909e-05,7289.0,0.0,0.0005634307861328125,0.0003210912957694854,9.584426879882812e-05,1.7467313781328456e-05,0.8095238095238095,123
26,537,8,2.8657913208007813e-05,3.4648708581132797e-06,0.00011835098266601562,2.054042131531326e-05,0.00027904510498046877,4.78840434581776e-05,0.00011219978332519532,1.016373676832229e-05,0.007077503204345703,0.004863290577322224,0.0007269859313964843,0.00014031691964190354,,,8.535385131835938e-05,1.1262596911365207e-05,9.584426879882812e-05,2.4070241933532485e-05,0.7878787878787878,Nystroem-linear-svc,0.0005773544311523437,3.119759719530357e-05,,,0.00031986236572265623,0.00024242859056846231,9.546279907226562e-05,2.432255153371223e-05,0.7835497835497836,0.0040552616119384766,0.00010081568451525034,,,0.003817033767700195,0.0021323801536797045,0.0011518001556396484,1.6879799674160832e-05,0.8095238095238095,0.0038909912109375,2.226247445921915e-05,,,0.002548980712890625,2.8207749364100858e-05,0.0012406349182128907,1.6698323943974782e-05,0.8095238095238095,0.005098724365234375,4.103591711364856e-05,5155.0,0.0,0.0007020473480224609,0.0003719014450908984,9.160041809082031e-05,1.7635240663831406e-05,0.8008658008658008,0.010345745086669921,6.560354839946968e-05,16608.0,0.0,0.0027190685272216798,0.0052679374072339665,0.006943225860595703,0.01499111681990175,0.8095238095238095,123
37,537,8,4.215240478515625e-05,1.7804457137499815e-05,0.00011682510375976562,1.7642974853515625e-05,0.00035657882690429685,4.293209649652994e-05,0.00015702247619628907,2.3366602046162364e-05,0.0053331851959228516,0.0019589774013300384,0.0012022018432617187,0.0005479730278661832,,,0.0002505779266357422,0.0001516384335597205,9.975433349609374e-05,1.8107730200519304e-05,0.7792207792207793,Nystroem-linear-svc,0.0009217739105224609,0.00023289983303094073,,,7.748603820800781e-05,1.3102180160554968e-05,0.00011396408081054688,5.088631133296869e-05,0.7748917748917749,0.00557861328125,0.0008458848362988749,,,0.004247140884399414,0.0017585693011983542,0.0014435291290283204,2.2285825172349752e-05,0.8138528138528138,0.004587841033935547,4.9565381955847305e-05,,,0.0031099796295166017,1.339967563620979e-05,0.001470041275024414,4.277650574231855e-05,0.8095238095238095,0.0070345401763916016,3.535233837786626e-05,7951.0,0.0,0.0005077362060546875,0.0003189734353703862,9.064674377441406e-05,1.5629969969200024e-05,0.8138528138528138,0.006134557723999024,3.721980531962914e-05,6264.0,0.0,0.000613546371459961,0.0002885418239819403,0.000103759765625,3.598201631880801e-05,0.8095238095238095,123
48,537,8,3.657341003417969e-05,1.1803044138868086e-05,0.00011858940124511718,1.684912718263274e-05,0.0025908946990966797,0.0003078022638219909,0.00019736289978027343,2.446051458786603e-05,0.0036409854888916015,0.0009292460787321101,0.0015868186950683595,0.0011518947665704782,,,0.00012197494506835938,7.144816501366933e-05,0.00014314651489257812,4.965109126585851e-05,0.7748917748917749,Nystroem-linear-svc,0.0008208274841308594,0.0001328153489057443,,,0.00011339187622070313,7.287298094321033e-05,0.0007349967956542969,0.000335672759580911,0.7922077922077922,0.005245065689086914,6.564798319351996e-05,,,0.0037769794464111326,2.2139190315164855e-05,0.0017248153686523437,1.9815008127610224e-05,0.7965367965367965,0.0050013065338134766,3.736103576650414e-05,,,0.003664255142211914,1.8380665385105416e-05,0.0017059803009033202,4.175545947926285e-05,0.8095238095238095,0.009623479843139649,0.0019289839569037964,6384.0,0.0,0.0006023883819580078,0.0002398056333127319,0.0007556915283203125,0.00024059391643383492,0.8008658008658008,0.005265474319458008,0.00022630319278804672,2162.0,0.0,0.0005596637725830078,0.0004249312269879844,0.00039811134338378905,0.00016011910254302403,0.8095238095238095,123
53,537,8,3.499984741210938e-05,6.519342319760955e-06,0.00012116432189941406,1.9725013284572778e-05,0.007698631286621094,0.005262915036473866,0.00022282600402832032,2.4505324520830855e-05,0.00348663330078125,0.0006769567347492221,0.00094757080078125,6.23328037152157e-05,,,0.000313568115234375,0.00015079663201826484,0.00021762847900390624,8.597748838684031e-05,0.7792207792207793,Nystroem-linear-svc,0.0008305072784423828,3.4769326164573023e-05,,,9.04083251953125e-05,6.8633913781709694e-06,0.0002615928649902344,0.00014238943597648035,0.7878787878787878,0.005589580535888672,5.946299888522693e-05,,,0.004082107543945312,2.403928553773245e-05,0.0018827438354492188,2.355546603623285e-05,0.8181818181818182,0.005482816696166992,6.946774444966084e-05,,,0.00414586067199707,0.0003807279706557937,0.0018264293670654298,2.0285624519818153e-05,0.8095238095238095,0.020531225204467773,2.1840625404375275e-05,21991.0,0.0,0.00048542022705078125,0.000292294517350969,0.0005568027496337891,0.00029414551475932376,0.8138528138528138,0.008327341079711914,3.693857140782604e-05,5309.0,0.0,0.0002934455871582031,0.00011248726518503801,0.00036821365356445315,0.00016619259454653026,0.8095238095238095,123
64,537,8,3.3807754516601565e-05,7.047275718934797e-06,0.00011982917785644532,1.5353119856628447e-05,0.005764198303222656,0.0032542003633342816,0.0031747817993164062,0.001693108526865068,0.007531404495239258,0.003206227105371558,0.0015893936157226562,0.0006346221510799535,,,0.00019388198852539064,0.00010280118680200305,0.00018100738525390626,6.280381644467459e-05,0.7965367965367965,Nystroem-linear-svc,0.0012643814086914062,0.00021054151972911986,,,0.00010557174682617188,4.504956748473586e-05,0.00021457672119140625,3.268552639593642e-05,0.7878787878787878,0.008024978637695312,0.002134673883804454,,,0.004808378219604492,6.959176540515231e-05,0.0030667781829833984,0.0016036101954907552,0.7922077922077922,0.0066131591796875,0.0007949921675559956,,,0.004629993438720703,1.4267912810436281e-05,0.0020987987518310547,6.228568450158741e-05,0.8095238095238095,0.021020936965942382,4.912591535878224e-05,15036.0,0.0,0.0005465030670166015,0.0004054545893551898,0.00032105445861816404,8.843185828298792e-05,0.7922077922077922,0.011216402053833008,2.8110652559012618e-05,5648.0,0.0,0.00019240379333496094,2.778778511873906e-05,0.0002604007720947266,3.787232413107374e-05,0.8095238095238095,123
69,537,8,2.8228759765625e-05,3.5427428476346416e-06,0.00012173652648925782,1.467252807976656e-05,0.008695602416992188,0.004087140319237323,0.004813718795776367,0.0016512061932185287,0.011257791519165039,0.005615092952898464,0.001046466827392578,9.378148667714294e-05,,,8.859634399414063e-05,3.3191000445122435e-05,0.00014395713806152343,2.1432093103300278e-05,0.7878787878787878,Nystroem-linear-svc,0.005814218521118164,0.006906353763858916,,,0.00022759437561035157,5.2285906495038685e-05,0.0003056049346923828,0.000118798190804056,0.7835497835497836,0.007331562042236328,0.001077761916127146,,,0.005004167556762695,1.4982478469243026e-05,0.0022562026977539064,2.958860057975887e-05,0.8051948051948052,0.006665611267089843,2.033739827649784e-05,,,0.005050802230834961,7.369024225616978e-06,0.0022728443145751953,4.246963741501532e-05,0.8095238095238095,0.010821771621704102,5.3536890610053774e-05,6765.0,0.0,0.0001823902130126953,2.432103239308661e-05,0.00023441314697265626,1.3521087372697905e-05,0.8051948051948052,0.011107397079467774,7.777296641207703e-05,5392.0,0.0,0.0001628398895263672,1.4914983061062194e-05,0.0002338409423828125,2.4061030070877502e-05,0.8095238095238095,123
80,537,8,3.843307495117187e-05,1.4128589243569207e-05,0.00012483596801757813,1.6559882415349336e-05,0.0064373970031738285,0.0011625927336721136,0.005010223388671875,0.004283380127952126,0.009553670883178711,0.00845786361975889,0.004138517379760742,0.006157332185287562,,,0.0001697540283203125,2.0062608229075837e-05,0.00021576881408691406,2.1092297592109637e-05,0.7965367965367965,Nystroem-linear-svc,0.002713632583618164,0.000840119810177725,,,0.00015621185302734376,1.8663317436977096e-05,0.00021739006042480468,1.824595438013847e-05,0.7835497835497836,0.007376241683959961,5.427215495808381e-05,,,0.005660438537597656,1.1484501938818802e-05,0.002542400360107422,4.4047663111483645e-05,0.8138528138528138,0.007249879837036133,3.47933504919111e-05,,,0.005587148666381836,1.3891232990875396e-05,0.0025022029876708984,3.077124062617413e-05,0.8095238095238095,0.010013771057128907,4.844340506862416e-05,5774.0,0.0,0.00014405250549316407,4.1702946763150843e-05,0.00017962455749511718,1.3316910233306706e-05,0.8138528138528138,0.012620162963867188,2.734932349736853e-05,5239.0,0.0,0.0001747608184814453,2.476169496504845e-05,0.00029816627502441404,9.781768357310906e-05,0.8095238095238095,123
91,537,8,3.643035888671875e-05,9.473051533458352e-06,0.00012378692626953126,1.632375246669128e-05,0.00645289421081543,0.001196332730278133,0.0029220104217529295,0.0016155528572832467,0.008290386199951172,0.0016835223657375087,0.0013998031616210937,9.012717404969383e-05,,,9.822845458984375e-05,1.5887517158178554e-05,0.00013737678527832032,2.4603018400657396e-05,0.7792207792207793,Nystroem-linear-svc,0.0013193607330322266,4.5804422443879096e-05,,,8.878707885742187e-05,1.3195773755119979e-05,0.00015897750854492186,1.3745198116712165e-05,0.7835497835497836,0.008598613739013671,6.115643365794744e-05,,,0.00669565200805664,2.680359308559172e-05,0.002973318099975586,1.5984716693746313e-05,0.8008658008658008,0.008383417129516601,2.9713785264952837e-05,,,0.006499814987182617,1.6318528252793734e-05,0.0030002593994140625,7.915622497618059e-05,0.8095238095238095,0.013954544067382812,0.0001224320145424035,6576.0,0.0,8.559226989746094e-05,4.96898295765591e-05,0.00016436576843261718,4.732431629429667e-05,0.8008658008658008,0.013341426849365234,8.102882619048729e-05,5376.0,0.0,7.472038269042968e-05,2.896103759047456e-05,0.00010628700256347657,2.193023287508909e-05,0.8095238095238095,123
96,537,8,3.361701965332031e-05,5.182520179577865e-06,0.0001270294189453125,1.627754723519481e-05,0.0016342639923095704,6.644751891244744e-05,0.0004134178161621094,5.8938837719387284e-05,0.0006296157836914063,1.8911418202941463e-05,0.0009601116180419922,6.678572113671472e-05,,,4.1866302490234374e-05,4.455940552574758e-06,0.00010061264038085938,1.2596761637418784e-05,0.7965367965367965,Nystroem-linear-svc,0.0009441852569580078,6.124745454184724e-05,,,4.458427429199219e-05,1.024783959404824e-05,9.417533874511719e-05,9.299852783604663e-06,0.7835497835497836,0.008505964279174804,2.8429153740282646e-05,,,0.006901788711547852,6.652933638621401e-05,0.0030563831329345702,4.447692043173861e-05,0.8051948051948052,0.008222579956054688,2.225353601375205e-05,,,0.0065117359161376955,1.7380371011865828e-05,0.0029045581817626954,1.0460029284054766e-05,0.8095238095238095,0.04633646011352539,0.0008602311729774221,29737.0,0.0,7.4005126953125e-05,5.257889201858665e-05,0.000102996826171875,1.4470063350717796e-05,0.8051948051948052,0.0118408203125,5.903953646713512e-05,4425.0,0.0,4.3010711669921876e-05,4.110906034844171e-06,9.5367431640625e-05,9.224673329426337e-06,0.8095238095238095,123
107,537,8,2.7799606323242186e-05,2.747509058168017e-06,0.00012021064758300781,7.795959430754879e-06,0.0021800994873046875,5.212023182650462e-05,0.0004657745361328125,4.204442522807353e-05,0.0008440494537353515,0.0002965545418914489,0.0009836196899414063,6.011898331186593e-05,,,4.444122314453125e-05,5.380553245327986e-06,9.493827819824218e-05,9.618941359616307e-06,0.7922077922077922,Nystroem-linear-svc,0.0009296894073486328,9.38442906313697e-06,,,4.4012069702148436e-05,3.0930159059199793e-06,9.484291076660157e-05,7.757585162145334e-06,0.7835497835497836,0.00923299789428711,2.6378405756890442e-05,,,0.007550239562988281,1.2026557250157918e-05,0.003348255157470703,3.6706241820349305e-05,0.8138528138528138,0.009375190734863282,7.564758896740149e-05,,,0.007226181030273437,0.00017294711831781763,0.003275012969970703,1.0936891985788207e-05,0.8095238095238095,0.02232785224914551,3.237115032978188e-05,10317.0,0.0,9.675025939941407e-05,5.670263509122654e-05,0.00012464523315429686,2.3586213926043107e-05,0.8051948051948052,0.013398218154907226,6.378764214752266e-05,4360.0,0.0,8.597373962402344e-05,1.7652315811563576e-05,0.00012726783752441405,2.268512375171595e-05,0.8095238095238095,123
112,537,8,2.799034118652344e-05,3.703554639952403e-06,0.00012841224670410157,1.6150637153638114e-05,0.015551614761352538,0.003860700642089438,0.003465747833251953,0.004828069876127555,0.006027364730834961,0.005013612052323351,0.0015248298645019532,0.0005982908336374421,,,6.279945373535156e-05,8.25320960723198e-06,0.00011363029479980469,1.476425218720632e-05,0.7835497835497836,Nystroem-linear-svc,0.001255369186401367,5.423265446216104e-05,,,7.658004760742187e-05,5.324266427019309e-06,0.000122833251953125,2.1252311715253997e-05,0.7835497835497836,0.00939183235168457,7.09321117731669e-05,,,0.007358169555664063,7.279774680849079e-06,0.0032606124877929688,9.677268859196856e-06,0.7965367965367965,0.009187602996826172,1.8281124486976957e-05,,,0.007236003875732422,0.00015376519716131732,0.0033994197845458986,5.821257048405792e-05,0.8095238095238095,0.014214229583740235,0.00013575791305620605,4084.0,0.0,0.0009592056274414062,0.0015911789058936498,0.0005032539367675782,0.0004538978319450066,0.7965367965367965,0.016059017181396483,0.0006851572060156549,4590.0,0.0,0.00010943412780761719,5.0439195832643426e-05,0.0003067493438720703,0.0001365856113183626,0.8095238095238095,123
123,537,8,4.796981811523437e-05,2.050427503176614e-05,0.00013427734375,2.6487756907169302e-05,0.05198502540588379,0.03585566359779416,0.0030102252960205076,0.0013925470026810197,0.007854843139648437,0.0045282346503039625,0.005628776550292969,0.004548643402072648,,,0.00015263557434082032,3.773172691200523e-05,0.00022864341735839844,9.003150880433588e-05,0.7792207792207793,Nystroem-linear-svc,0.003587961196899414,0.0010584904767296677,,,0.00012521743774414064,1.892193548183091e-05,0.0001555919647216797,1.7873921422659306e-05,0.7835497835497836,0.011093378067016602,3.451680225068808e-05,,,0.008920574188232422,6.204442135839803e-05,0.003920412063598633,1.3288066526298246e-05,0.7965367965367965,0.010319709777832031,1.1734699919056618e-05,,,0.008527374267578125,0.00019702858580899845,0.0038257598876953124,0.0002189975945399095,0.8095238095238095,0.01715431213378906,9.909334128767078e-05,4482.0,0.0,0.00010938644409179688,1.920594474821677e-05,0.00014057159423828126,2.4429238341296097e-05,0.7922077922077922,0.014668416976928712,7.737030042080768e-05,4338.0,0.0,5.183219909667969e-05,8.079189184433413e-06,0.0001285552978515625,3.8938724962016084e-05,0.8095238095238095,123
134,537,8,3.5429000854492186e-05,1.0007334078013562e-05,0.00012884140014648437,1.4931742758223075e-05,0.022027587890625,0.0031886100216405315,0.0032073974609375,0.004367133019753865,0.00849757194519043,0.0060260180186454,0.001802682876586914,0.0006556683668115129,,,6.98089599609375e-05,8.656269100618184e-06,0.00018358230590820312,0.00012576450103160772,0.7792207792207793,Nystroem-linear-svc,0.0020607948303222657,0.000797525428545736,,,6.966590881347656e-05,1.7581976010927958e-05,0.0001155853271484375,1.4317427740199909e-05,0.7878787878787878,0.011077022552490235,6.622493951316129e-05,,,0.00894179344177246,3.098368458958656e-05,0.0039326190948486325,1.5039847627978594e-05,0.8008658008658008,0.01083202362060547,3.803744088326551e-05,,,0.008539199829101562,2.410092271323168e-05,0.0038910388946533205,1.8334528249103122e-05,0.8095238095238095,0.026321554183959962,7.342723260857948e-05,8695.0,0.0,9.579658508300782e-05,4.688257507619047e-05,0.00012302398681640625,1.1262596911365207e-05,0.8008658008658008,0.016568565368652345,7.529283641897177e-05,4393.0,0.0,7.543563842773437e-05,7.608130744536453e-06,0.00011239051818847656,1.1919259908182952e-05,0.8095238095238095,123
